project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
PDFMathTranslate,20260629_215644,69b02ee735b3cbedfd0c306d550a28feb897dfcc,1734582833,fix (style): pep8 method name,False,original,6,0,0,0,0,1,4.318,3.935000000000001,original,0.0,0.0,5.13180947303772,0.0,5.13180947303772,,,,,,,,,,,2510
PDFMathTranslate,20260629_215644,69b02ee735b3cbedfd0c306d550a28feb897dfcc,1734582833,fix (style): pep8 method name,False,pymop,6,0,0,0,0,1,2.49,3.935000000000001,pymop,3.012975692749023,0.7148168087005615,8.670157194137573,0.0,12.397949695587158,0.0,,0.0,,,,115.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeListIterator=12,452.0,BuiltinAllAnalysis=violation=49<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=49<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=49<>WrongTypeAddedAnalysis=check_insert=49<>WrongTypeAddedAnalysis=check_extend=49<>WrongTypeAddedAnalysis=check_add=49<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeListIterator=createList=12,2510
PDFMathTranslate,20260629_215644,69b02ee735b3cbedfd0c306d550a28feb897dfcc,1734582833,fix (style): pep8 method name,False,pymop_libs,6,0,0,0,0,1,307.757,3.935000000000001,pymop_libs,9.778510808944702,0.732219934463501,325.2134120464325,0.0,335.7241427898407,182.0,InvalidComparisonAnalysis=180;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,7.0,InvalidComparisonAnalysis=5;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350={None};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},71962.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=37806<>UnsafeDictIterator=34018<>ArgParse_Parent=1<>FileClosedAnalysis=90<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Pydocs_MustReleaseLock=10,4139638.0,BuiltinAllAnalysis=violation=592377<>ComparisonBehaviorAnalysis=ne_end=5236<>ComparisonBehaviorAnalysis=eq_end=154272<>InPlaceSortAnalysis=list_used=93574<>InPlaceSortAnalysis=list_sorted=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=159496<>NonFinitesAnalysis=non_finite_op=592267<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=9136<>StringStripAnalysis=strip=239<>WrongTypeAddedAnalysis=check_append=590755<>WrongTypeAddedAnalysis=check_insert=590755<>WrongTypeAddedAnalysis=check_extend=590755<>WrongTypeAddedAnalysis=check_add=590755<>WrongTypeAddedAnalysis=check_add_assign=9136<>UnsafeListIterator=createList=62021<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=54751<>UnsafeDictIterator=updateDict=43898<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Pydocs_MustReleaseLock=acquire=15<>Pydocs_MustReleaseLock=release=15<>Pydocs_MustReleaseLock=end=5,2510
PDFMathTranslate,20260629_215644,69b02ee735b3cbedfd0c306d550a28feb897dfcc,1734582833,fix (style): pep8 method name,False,dylin,6,0,0,0,0,1,6.455,3.935000000000001,dylin,11.859395265579224,0.0,8.56278395652771,0.3577156066894531,20.779894828796387,0.0,,0.0,,,,,,,,2510
PDFMathTranslate,20260629_215644,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1734582953,fix (style): black,False,original,6,0,0,0,0,1,4.246,3.935000000000001,original,0.0,0.0,4.991692304611206,0.0,4.991692304611206,,,,,,,,,,,2520
PDFMathTranslate,20260629_215644,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1734582953,fix (style): black,False,pymop,6,0,0,0,0,1,2.152,3.935000000000001,pymop,2.9634017944335938,0.6122853755950928,7.6646668910980225,0.0,11.240354061126707,0.0,,0.0,,,,115.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeListIterator=12,452.0,BuiltinAllAnalysis=violation=49<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=49<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=49<>WrongTypeAddedAnalysis=check_insert=49<>WrongTypeAddedAnalysis=check_extend=49<>WrongTypeAddedAnalysis=check_add=49<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeListIterator=createList=12,2520
PDFMathTranslate,20260629_215644,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1734582953,fix (style): black,False,pymop_libs,6,0,0,0,0,1,323.192,3.935000000000001,pymop_libs,9.641225337982178,0.7157559394836426,340.1569948196411,0.0,350.51397609710693,182.0,InvalidComparisonAnalysis=180;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,7.0,InvalidComparisonAnalysis=5;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350={None};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},72252.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=38018<>UnsafeDictIterator=34096<>ArgParse_Parent=1<>FileClosedAnalysis=90<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Pydocs_MustReleaseLock=10,4139095.0,BuiltinAllAnalysis=violation=592295<>ComparisonBehaviorAnalysis=ne_end=5235<>ComparisonBehaviorAnalysis=eq_end=154253<>InPlaceSortAnalysis=list_used=93574<>InPlaceSortAnalysis=list_sorted=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=159476<>NonFinitesAnalysis=non_finite_op=592185<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=9132<>StringStripAnalysis=strip=236<>WrongTypeAddedAnalysis=check_append=590673<>WrongTypeAddedAnalysis=check_insert=590673<>WrongTypeAddedAnalysis=check_extend=590673<>WrongTypeAddedAnalysis=check_add=590673<>WrongTypeAddedAnalysis=check_add_assign=9132<>UnsafeListIterator=createList=62021<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=54751<>UnsafeDictIterator=updateDict=43898<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Pydocs_MustReleaseLock=acquire=15<>Pydocs_MustReleaseLock=release=15<>Pydocs_MustReleaseLock=end=5,2520
PDFMathTranslate,20260629_215644,5ce72a1fb88fcf0bbf18cc0463767fc7032075bc,1734582953,fix (style): black,False,dylin,6,0,0,0,0,1,5.825,3.935000000000001,dylin,11.483587265014648,0.0,7.517378330230713,0.3302841186523437,19.331249713897705,0.0,,0.0,,,,,,,,2520
PDFMathTranslate,20260629_215644,259234391fb5e9c4b1ba8b3a99dcef5863295d55,1734587599,chore (gui): add comments to all methods,False,original,6,0,0,0,0,1,4.275,3.915,original,0.0,0.0,5.04500937461853,0.0,5.04500937461853,,,,,,,,,,,2529
PDFMathTranslate,20260629_215644,259234391fb5e9c4b1ba8b3a99dcef5863295d55,1734587599,chore (gui): add comments to all methods,False,pymop,6,0,0,0,0,1,2.186,3.915,pymop,3.07682728767395,0.6962294578552246,8.02173376083374,0.0,11.794790506362917,0.0,,0.0,,,,115.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeListIterator=12,452.0,BuiltinAllAnalysis=violation=49<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=49<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=49<>WrongTypeAddedAnalysis=check_insert=49<>WrongTypeAddedAnalysis=check_extend=49<>WrongTypeAddedAnalysis=check_add=49<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeListIterator=createList=12,2529
PDFMathTranslate,20260629_215644,259234391fb5e9c4b1ba8b3a99dcef5863295d55,1734587599,chore (gui): add comments to all methods,False,pymop_libs,6,0,0,0,0,1,306.6,3.915,pymop_libs,10.31326413154602,0.7607219219207764,324.4435203075409,0.0,335.5175063610077,182.0,InvalidComparisonAnalysis=180;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,7.0,InvalidComparisonAnalysis=5;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350={None};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},71781.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=37885<>UnsafeDictIterator=33758<>ArgParse_Parent=1<>FileClosedAnalysis=90<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Pydocs_MustReleaseLock=10,4139638.0,BuiltinAllAnalysis=violation=592377<>ComparisonBehaviorAnalysis=ne_end=5236<>ComparisonBehaviorAnalysis=eq_end=154272<>InPlaceSortAnalysis=list_used=93574<>InPlaceSortAnalysis=list_sorted=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=159496<>NonFinitesAnalysis=non_finite_op=592267<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=9136<>StringStripAnalysis=strip=239<>WrongTypeAddedAnalysis=check_append=590755<>WrongTypeAddedAnalysis=check_insert=590755<>WrongTypeAddedAnalysis=check_extend=590755<>WrongTypeAddedAnalysis=check_add=590755<>WrongTypeAddedAnalysis=check_add_assign=9136<>UnsafeListIterator=createList=62021<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=54751<>UnsafeDictIterator=updateDict=43898<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Pydocs_MustReleaseLock=acquire=15<>Pydocs_MustReleaseLock=release=15<>Pydocs_MustReleaseLock=end=5,2529
PDFMathTranslate,20260629_215644,259234391fb5e9c4b1ba8b3a99dcef5863295d55,1734587599,chore (gui): add comments to all methods,False,dylin,6,0,0,0,0,1,6.113,3.915,dylin,12.294650316238403,0.0,7.937604904174805,0.3478355407714844,20.580090761184692,0.0,,0.0,,,,,,,,2529
PDFMathTranslate,20260629_215645,448eae51a0fdb4c0057c73d20c08abc5ff956fef,1734589125,feat (gui) : 调整PDF预览大小,False,original,6,0,0,0,0,1,4.318,3.915,original,0.0,0.0,5.110349893569946,0.0,5.110349893569946,,,,,,,,,,,2533
PDFMathTranslate,20260629_215645,448eae51a0fdb4c0057c73d20c08abc5ff956fef,1734589125,feat (gui) : 调整PDF预览大小,False,pymop,6,0,0,0,0,1,2.193,3.915,pymop,3.0797581672668457,0.5849602222442627,7.985260009765625,0.0,11.649978399276732,0.0,,0.0,,,,115.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeListIterator=12,452.0,BuiltinAllAnalysis=violation=49<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=49<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=49<>WrongTypeAddedAnalysis=check_insert=49<>WrongTypeAddedAnalysis=check_extend=49<>WrongTypeAddedAnalysis=check_add=49<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeListIterator=createList=12,2533
PDFMathTranslate,20260629_215645,448eae51a0fdb4c0057c73d20c08abc5ff956fef,1734589125,feat (gui) : 调整PDF预览大小,False,pymop_libs,6,0,0,0,0,1,307.406,3.915,pymop_libs,10.230815649032593,0.7240009307861328,324.3949077129364,0.0,335.3497242927551,182.0,InvalidComparisonAnalysis=180;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,7.0,InvalidComparisonAnalysis=5;RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pymupdf/mupdf.py:58835={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350={None};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},72189.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=37931<>UnsafeDictIterator=34120<>ArgParse_Parent=1<>FileClosedAnalysis=90<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Pydocs_MustReleaseLock=10,4139660.0,BuiltinAllAnalysis=violation=592379<>ComparisonBehaviorAnalysis=ne_end=5235<>ComparisonBehaviorAnalysis=eq_end=154276<>InPlaceSortAnalysis=list_used=93575<>InPlaceSortAnalysis=list_sorted=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=159499<>NonFinitesAnalysis=non_finite_op=592269<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=9136<>StringStripAnalysis=strip=239<>WrongTypeAddedAnalysis=check_append=590757<>WrongTypeAddedAnalysis=check_insert=590757<>WrongTypeAddedAnalysis=check_extend=590757<>WrongTypeAddedAnalysis=check_add=590757<>WrongTypeAddedAnalysis=check_add_assign=9136<>UnsafeListIterator=createList=62022<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=54753<>UnsafeDictIterator=updateDict=43898<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Pydocs_MustReleaseLock=acquire=15<>Pydocs_MustReleaseLock=release=15<>Pydocs_MustReleaseLock=end=5,2533
PDFMathTranslate,20260629_215645,448eae51a0fdb4c0057c73d20c08abc5ff956fef,1734589125,feat (gui) : 调整PDF预览大小,False,dylin,6,0,0,0,0,1,5.775,3.915,dylin,11.475523710250854,0.0,7.506786584854126,0.3700823783874511,19.35239267349243,0.0,,0.0,,,,,,,,2533
PDFMathTranslate,20260629_215645,6b293ab38e9d4c67b82a7fbb4837fa4e80416012,1734590479,feat (cli): add support for non-pdf/a document,False,original,6,0,0,0,0,1,4.352,3.866,original,0.0,0.0,5.095141887664795,0.0,5.095141887664795,,,,,,,,,,,2572
PDFMathTranslate,20260629_215645,6b293ab38e9d4c67b82a7fbb4837fa4e80416012,1734590479,feat (cli): add support for non-pdf/a document,False,pymop,6,0,0,0,0,1,2.33,3.866,pymop,3.008096694946289,0.5896856784820557,8.54298210144043,0.0,12.140764474868774,0.0,,0.0,,,,115.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeListIterator=12,452.0,BuiltinAllAnalysis=violation=49<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=49<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=49<>WrongTypeAddedAnalysis=check_insert=49<>WrongTypeAddedAnalysis=check_extend=49<>WrongTypeAddedAnalysis=check_add=49<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeListIterator=createList=12,2572
