project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
akshare,20260629_220623,15487206552b8e21e404cf8557e5537b6c0e4758,1743362324,docs: update docs,False,original,3,0,0,0,0,0,6.049,13.26,original,0.0,0.0,6.664462327957153,0.0,6.664462327957153,,,,,,,,,,,74118
akshare,20260629_220623,15487206552b8e21e404cf8557e5537b6c0e4758,1743362324,docs: update docs,False,pymop,3,0,0,0,0,0,3.539,13.26,pymop,2.730934381484986,0.635624885559082,5.33761191368103,0.0,8.704171180725098,80.0,InvalidComparisonAnalysis=80,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},257.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=121<>UnsafeListIterator=101,13878.0,BuiltinAllAnalysis=violation=1237<>ComparisonBehaviorAnalysis=eq_end=1025<>InPlaceSortAnalysis=list_used=264<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1025<>NonFinitesAnalysis=non_finite_op=1237<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1815<>WrongTypeAddedAnalysis=check_append=1237<>WrongTypeAddedAnalysis=check_insert=1237<>WrongTypeAddedAnalysis=check_extend=1237<>WrongTypeAddedAnalysis=check_add=1237<>WrongTypeAddedAnalysis=check_add_assign=1815<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=121<>UnsafeListIterator=createList=283<>UnsafeListIterator=updateList=73,74118
akshare,20260629_220623,15487206552b8e21e404cf8557e5537b6c0e4758,1743362324,docs: update docs,False,pymop_libs,3,0,0,0,0,0,1399.216,13.26,pymop_libs,8.868186235427856,0.6146724224090576,1404.3552331924438,0.0,1413.8380918502808,81.0,InvalidComparisonAnalysis=80;InPlaceSortAnalysis=1,4.0,InvalidComparisonAnalysis=3;InPlaceSortAnalysis=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15={'tests/test_func.py::test_zipfile_func'},10028.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7052<>UnsafeDictIterator=2917<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1099881.0,BuiltinAllAnalysis=violation=157098<>ComparisonBehaviorAnalysis=ne_end=5646<>ComparisonBehaviorAnalysis=eq_end=28568<>InPlaceSortAnalysis=list_used=27513<>InPlaceSortAnalysis=list_sorted=6105<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=34202<>NonFinitesAnalysis=non_finite_op=156912<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3992<>StringStripAnalysis=strip=98<>WrongTypeAddedAnalysis=check_append=161151<>WrongTypeAddedAnalysis=check_insert=161151<>WrongTypeAddedAnalysis=check_extend=161151<>WrongTypeAddedAnalysis=check_add=161151<>WrongTypeAddedAnalysis=check_add_assign=3992<>UnsafeListIterator=createList=21709<>UnsafeListIterator=updateList=73<>UnsafeDictIterator=createDict=3203<>UnsafeDictIterator=updateDict=6105<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,74118
akshare,20260629_220623,15487206552b8e21e404cf8557e5537b6c0e4758,1743362324,docs: update docs,False,dylin,3,0,0,0,0,0,6.347,13.26,dylin,60.96720910072327,0.0,7.804718494415283,0.3196635246276855,69.09159111976624,9.0,InvalidComparisonAnalysis=9,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},,,,,74118
akshare,20260629_220623,a90088291dd3e44ba3ba106118fdb0d36345d150,1743362712,feat: add version 1.16.67,False,original,3,0,0,0,0,0,6.609,13.26,original,0.0,0.0,7.426174163818359,0.0,7.426174163818359,,,,,,,,,,,74119
akshare,20260629_220623,a90088291dd3e44ba3ba106118fdb0d36345d150,1743362712,feat: add version 1.16.67,False,pymop,3,0,0,0,0,0,3.616,13.26,pymop,2.832181453704834,0.6615536212921143,5.36215877532959,0.0,8.855893850326538,80.0,InvalidComparisonAnalysis=80,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},249.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=121<>UnsafeListIterator=93,13878.0,BuiltinAllAnalysis=violation=1237<>ComparisonBehaviorAnalysis=eq_end=1025<>InPlaceSortAnalysis=list_used=264<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1025<>NonFinitesAnalysis=non_finite_op=1237<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1815<>WrongTypeAddedAnalysis=check_append=1237<>WrongTypeAddedAnalysis=check_insert=1237<>WrongTypeAddedAnalysis=check_extend=1237<>WrongTypeAddedAnalysis=check_add=1237<>WrongTypeAddedAnalysis=check_add_assign=1815<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=121<>UnsafeListIterator=createList=283<>UnsafeListIterator=updateList=73,74119
akshare,20260629_220623,a90088291dd3e44ba3ba106118fdb0d36345d150,1743362712,feat: add version 1.16.67,False,pymop_libs,3,0,0,0,0,0,1394.372,13.26,pymop_libs,8.82678484916687,0.5765380859375,1399.513239145279,0.0,1408.9165620803833,81.0,InvalidComparisonAnalysis=80;InPlaceSortAnalysis=1,4.0,InvalidComparisonAnalysis=3;InPlaceSortAnalysis=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15={'tests/test_func.py::test_zipfile_func'},10037.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7058<>UnsafeDictIterator=2920<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1099881.0,BuiltinAllAnalysis=violation=157098<>ComparisonBehaviorAnalysis=ne_end=5646<>ComparisonBehaviorAnalysis=eq_end=28568<>InPlaceSortAnalysis=list_used=27513<>InPlaceSortAnalysis=list_sorted=6105<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=34202<>NonFinitesAnalysis=non_finite_op=156912<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3992<>StringStripAnalysis=strip=98<>WrongTypeAddedAnalysis=check_append=161151<>WrongTypeAddedAnalysis=check_insert=161151<>WrongTypeAddedAnalysis=check_extend=161151<>WrongTypeAddedAnalysis=check_add=161151<>WrongTypeAddedAnalysis=check_add_assign=3992<>UnsafeListIterator=createList=21709<>UnsafeListIterator=updateList=73<>UnsafeDictIterator=createDict=3203<>UnsafeDictIterator=updateDict=6105<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,74119
akshare,20260629_220623,a90088291dd3e44ba3ba106118fdb0d36345d150,1743362712,feat: add version 1.16.67,False,dylin,3,0,0,0,0,0,6.447,13.26,dylin,60.95592498779297,0.0,7.926305055618286,0.2914421558380127,69.17367219924927,9.0,InvalidComparisonAnalysis=9,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},,,,,74119
akshare,20260629_220623,1446c43a06f736e5ec56e423902d4fde914a78eb,1743400751,fix: option_dce_daily,False,original,3,0,0,0,0,0,6.025,13.26,original,0.0,0.0,6.636795520782471,0.0,6.636795520782471,,,,,,,,,,,74117
akshare,20260629_220623,1446c43a06f736e5ec56e423902d4fde914a78eb,1743400751,fix: option_dce_daily,False,pymop,3,0,0,0,0,0,3.598,13.26,pymop,2.860666275024414,0.5719871520996094,5.259020566940308,0.0,8.691673994064331,80.0,InvalidComparisonAnalysis=80,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},234.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=121<>UnsafeListIterator=78,13878.0,BuiltinAllAnalysis=violation=1237<>ComparisonBehaviorAnalysis=eq_end=1025<>InPlaceSortAnalysis=list_used=264<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1025<>NonFinitesAnalysis=non_finite_op=1237<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1815<>WrongTypeAddedAnalysis=check_append=1237<>WrongTypeAddedAnalysis=check_insert=1237<>WrongTypeAddedAnalysis=check_extend=1237<>WrongTypeAddedAnalysis=check_add=1237<>WrongTypeAddedAnalysis=check_add_assign=1815<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=121<>UnsafeListIterator=createList=283<>UnsafeListIterator=updateList=73,74117
akshare,20260629_220623,1446c43a06f736e5ec56e423902d4fde914a78eb,1743400751,fix: option_dce_daily,False,pymop_libs,3,0,0,0,0,0,1409.018,13.26,pymop_libs,8.9577317237854,0.5198836326599121,1414.0992107391355,0.0,1423.576826095581,81.0,InvalidComparisonAnalysis=80;InPlaceSortAnalysis=1,4.0,InvalidComparisonAnalysis=3;InPlaceSortAnalysis=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15={'tests/test_func.py::test_zipfile_func'},9948.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=6959<>UnsafeDictIterator=2930<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1099881.0,BuiltinAllAnalysis=violation=157098<>ComparisonBehaviorAnalysis=ne_end=5646<>ComparisonBehaviorAnalysis=eq_end=28568<>InPlaceSortAnalysis=list_used=27513<>InPlaceSortAnalysis=list_sorted=6105<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=34202<>NonFinitesAnalysis=non_finite_op=156912<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3992<>StringStripAnalysis=strip=98<>WrongTypeAddedAnalysis=check_append=161151<>WrongTypeAddedAnalysis=check_insert=161151<>WrongTypeAddedAnalysis=check_extend=161151<>WrongTypeAddedAnalysis=check_add=161151<>WrongTypeAddedAnalysis=check_add_assign=3992<>UnsafeListIterator=createList=21709<>UnsafeListIterator=updateList=73<>UnsafeDictIterator=createDict=3203<>UnsafeDictIterator=updateDict=6105<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,74117
akshare,20260629_220623,1446c43a06f736e5ec56e423902d4fde914a78eb,1743400751,fix: option_dce_daily,False,dylin,3,0,0,0,0,0,6.67,13.26,dylin,61.11517882347107,0.0,8.210035562515259,0.3073704242706299,69.63258481025696,9.0,InvalidComparisonAnalysis=9,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},,,,,74117
akshare,20260629_220623,e5364b513bba336067b8b91530ccc39aa5fbfb72,1743416825,docs: update docs,False,original,3,0,0,0,0,0,6.099,13.26,original,0.0,0.0,6.669421434402466,0.0,6.669421434402466,,,,,,,,,,,74117
akshare,20260629_220623,e5364b513bba336067b8b91530ccc39aa5fbfb72,1743416825,docs: update docs,False,pymop,3,0,0,0,0,0,3.572,13.26,pymop,2.6921656131744385,0.5884442329406738,5.391682147979736,0.0,8.672291994094849,80.0,InvalidComparisonAnalysis=80,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},234.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=121<>UnsafeListIterator=78,13878.0,BuiltinAllAnalysis=violation=1237<>ComparisonBehaviorAnalysis=eq_end=1025<>InPlaceSortAnalysis=list_used=264<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1025<>NonFinitesAnalysis=non_finite_op=1237<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1815<>WrongTypeAddedAnalysis=check_append=1237<>WrongTypeAddedAnalysis=check_insert=1237<>WrongTypeAddedAnalysis=check_extend=1237<>WrongTypeAddedAnalysis=check_add=1237<>WrongTypeAddedAnalysis=check_add_assign=1815<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=121<>UnsafeListIterator=createList=283<>UnsafeListIterator=updateList=73,74117
akshare,20260629_220623,e5364b513bba336067b8b91530ccc39aa5fbfb72,1743416825,docs: update docs,False,pymop_libs,3,0,0,0,0,0,1398.166,13.26,pymop_libs,8.835958242416382,0.6170570850372314,1403.5688133239746,0.0,1413.0218286514282,81.0,InvalidComparisonAnalysis=80;InPlaceSortAnalysis=1,4.0,InvalidComparisonAnalysis=3;InPlaceSortAnalysis=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/html5lib/_trie/py.py:15={'tests/test_func.py::test_zipfile_func'},10017.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7048<>UnsafeDictIterator=2910<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1099881.0,BuiltinAllAnalysis=violation=157098<>ComparisonBehaviorAnalysis=ne_end=5646<>ComparisonBehaviorAnalysis=eq_end=28568<>InPlaceSortAnalysis=list_used=27513<>InPlaceSortAnalysis=list_sorted=6105<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=34202<>NonFinitesAnalysis=non_finite_op=156912<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3992<>StringStripAnalysis=strip=98<>WrongTypeAddedAnalysis=check_append=161151<>WrongTypeAddedAnalysis=check_insert=161151<>WrongTypeAddedAnalysis=check_extend=161151<>WrongTypeAddedAnalysis=check_add=161151<>WrongTypeAddedAnalysis=check_add_assign=3992<>UnsafeListIterator=createList=21709<>UnsafeListIterator=updateList=73<>UnsafeDictIterator=createDict=3203<>UnsafeDictIterator=updateDict=6105<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,74117
akshare,20260629_220623,e5364b513bba336067b8b91530ccc39aa5fbfb72,1743416825,docs: update docs,False,dylin,3,0,0,0,0,0,6.579,13.26,dylin,59.42818665504456,0.0,8.071873664855957,0.3282034397125244,67.82826375961304,9.0,InvalidComparisonAnalysis=9,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},,,,,74117
akshare,20260629_220623,9c6a150983101171d49f21a2d9aacd56748b1cba,1743416889,fix: fix index_zh_a_hist_min_em,False,original,3,0,0,0,0,0,6.04,13.26,original,0.0,0.0,6.626812219619751,0.0,6.626812219619751,,,,,,,,,,,74117
akshare,20260629_220623,9c6a150983101171d49f21a2d9aacd56748b1cba,1743416889,fix: fix index_zh_a_hist_min_em,False,pymop,3,0,0,0,0,0,3.657,13.26,pymop,2.8593106269836426,0.6058666706085205,5.4504382610321045,0.0,8.915615558624268,80.0,InvalidComparisonAnalysis=80,3.0,InvalidComparisonAnalysis=3,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:182=1;InvalidComparisonAnalysis:/akshare/utils/demjson.py:214=1,InvalidComparisonAnalysis:/akshare/utils/demjson.py:154={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:182={None};InvalidComparisonAnalysis:/akshare/utils/demjson.py:214={None},249.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=121<>UnsafeListIterator=93,13878.0,BuiltinAllAnalysis=violation=1237<>ComparisonBehaviorAnalysis=eq_end=1025<>InPlaceSortAnalysis=list_used=264<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1025<>NonFinitesAnalysis=non_finite_op=1237<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1815<>WrongTypeAddedAnalysis=check_append=1237<>WrongTypeAddedAnalysis=check_insert=1237<>WrongTypeAddedAnalysis=check_extend=1237<>WrongTypeAddedAnalysis=check_add=1237<>WrongTypeAddedAnalysis=check_add_assign=1815<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=121<>UnsafeListIterator=createList=283<>UnsafeListIterator=updateList=73,74117
